category_name,name,organization_name,street,city,state,zip,county,service_area_name,service_area_counties,service_area_town_names,phone,website_url,facebook_url,publish_from,publish_until,is_created_by_admin,is_approved,youtube_identifier,description
food,Food Pantry,Hartford Food Pantry,56 Main Street,Hartford,NY,12838,Washington,Hartford,,,518-632-5805,https://regionalfoodbank.net/agencies/hartford-food-pantry/,,2020-08-10,,TRUE,TRUE,,Serves the Town of Hartford. Proof of town residency required. Open every other Saturday from 9 to 10:30 a.m. Call for dates.
food,Food Pantry,Doreen's Food Pantry at the HF United Methodist Church,227 Main Street,Hudson Falls,NY,12839,Washington,Hudson Falls,,,518-747-9042,,https://www.facebook.com/doreenssoupkitchen/,2020-08-10,,TRUE,TRUE,,Open by appointment only. 
food,Food Pantry,Salem Food Pantry,32 East Broadway,Salem,NY,12865,Washington,Salem,,,518-854-3317,,https://www.facebook.com/The-Salem-Food-Pantry-111076757252846/,2020-08-10,,TRUE,TRUE,,Serves residents of the Salem School District. Open Saturday from 9:30 to 11:30 a.m. Also open by appointment.
food,Food Pantry,Whitehall Community Food Pantry,56 Greenmount Cemetary Lane,Whitehall,NY,12887,Washington,,,"Whitehall, Clemons, Comstock",518-499-2039,,https://www.facebook.com/Whitehall-Community-Food-Pantry-156151074432785/,2020-08-10,,TRUE,TRUE,,Call for hours.
food,Food Pantry,Cambridge Food Pantry,59 South Park Street,Cambridge,NY,12816,Washington,Cambridge,,,518-677-7172,,https://www.facebook.com/CambridgeNYLoavesandfishes/,2020-08-10,,TRUE,TRUE,,"Open Wednesday from 1 to 3 p.m., Friday from 4 to 6 p.m., and Saturday from 11 a.m. to 1 p.m. "
food,Food Pantry,Christ's Cupboard Food Pantry at the First Baptist Church of Ballston Spa,202 Milton Avenue,Ballston Spa,NY,12020,Saratoga,,,,518-885-8361,http://bspabaptist.org/our-mission-field/food-pantry/,,2020-08-10,,TRUE,TRUE,,Must be a Saratoga County resident. Need government issued photo ID to use pantry. Limited to one visit per month. Open first and third Tuesdays of the month from 9 to 11 a.m. and Thursday from 4:30 to 6 p.m.
food ,Food Pantry,Saratoga County EOC Food Pantry,39 Bath Street,Ballston Spa,NY,12020,Saratoga,,,,518-228-3206,https://saratogaeoc.org/foodprograms/,https://www.facebook.com/sceoc/,2020-08-10,,TRUE,TRUE,,"Open Monday from 12:30 to 5 p.m., Tuesday from 9 a.m. to noon, Wednesday from 9 a.m. to 4 p.m., and Friday 12:30 to 4 p.m."
food ,Soup Kitchen,Saratoga County EOC Soup Kitchen at the Presbyterian New England Congretional Church,24 Circular Street,Saratoga,NY,12866,Saratoga,,,,518-581-8233,https://saratogaeoc.org/foodprograms/,https://www.facebook.com/sceoc/,2020-08-10,,TRUE,TRUE,,Lunch is served Monday through Saturday from 11:45 a.m. to 1 p.m. and Sunday from 3 to 4 p.m. 
clothing,Dress for Work,Saratoga County EOC,39 Bath Street,Ballston Spa,NY,12020,Saratoga,,,,518-228-3206,https://saratogaeoc.org/programs/community-services/advocacy/,https://www.facebook.com/sceoc/,2020-08-10,,TRUE,TRUE,,Provides appropriate interview or work clothing to individuals in need. This is a collaboration between EOC and Treasures Consignment/Thrift store. Interested individuals need to come in and meet with a worker to obtain a voucher.
food,Karyl's Kupboard Emergency Food and Hygiene Pantry,CAPTAIN Community Human Services,5 Municipal Plaza Suite 3,Clifton Park,NY,12065,Saratoga,,,,518-371-1185,https://captaincares.org/what-we-do/emergency-assistance/food-pantry.html,https://www.facebook.com/CAPTAINCHS/,2020-08-10,,TRUE,TRUE,,"Open to any member of Saratoga County who is in need of food or hygiene products. Must bring photo ID and proof of Saratoga County residency. May be utilized once every 30 days. No appointments are necessary, and there is a simple application. Open Monday, Tuesday, and Thursday from 10 a.m. to 3 p.m."
hygiene,Karyl's Kupboard Emergency Food and Hygiene Pantry,CAPTAIN Community Human Services,5 Municipal Plaza Suite 3,Clifton Park,NY,12065,Saratoga,,,,518-371-1185,https://captaincares.org/what-we-do/emergency-assistance/food-pantry.html,https://www.facebook.com/CAPTAINCHS/,2020-08-10,,TRUE,TRUE,,"Open to any member of Saratoga County who is in need of food or hygiene products. Must bring photo ID and proof of Saratoga County residency. May be utilized once every 30 days. No appointments are necessary, and there is a simple application. Open Monday, Tuesday, and Thursday from 10 a.m. to 3 p.m."
shelter,Emergency Shelter,CAPTAIN Community Human Services,5 Municipal Plaza Suite 3,Clifton Park,NY,12065,Saratoga,,,,518-371-1185,https://captaincares.org/what-we-do/emergency-assistance/food-pantry.html,https://www.facebook.com/CAPTAINCHS/,2020-08-10,,TRUE,TRUE,,"Emergency rental or utility assistance is available to those residents of Saratoga County who have received a notice of eviction, are at imminent risk of losing their housing, are literally homeless, or are facing a utility shutoff."
utilities ,Utilities Assistance,CAPTAIN Community Human Services,5 Municipal Plaza Suite 3,Clifton Park,NY,12065,Saratoga,,,,518-371-1185,https://captaincares.org/what-we-do/emergency-assistance/food-pantry.html,https://www.facebook.com/CAPTAINCHS/,2020-08-10,,TRUE,TRUE,,"Emergency rental or utility assistance is available to those residents of Saratoga County who have received a notice of eviction, are at imminent risk of losing their housing, are literally homeless, or are facing a utility shutoff."
rent,Rent Assistance,CAPTAIN Community Human Services,5 Municipal Plaza Suite 3,Clifton Park,NY,12065,Saratoga,,,,518-371-1185,https://captaincares.org/what-we-do/emergency-assistance/food-pantry.html,https://www.facebook.com/CAPTAINCHS/,2020-08-10,,TRUE,TRUE,,"Emergency rental or utility assistance is available to those residents of Saratoga County who have received a notice of eviction, are at imminent risk of losing their housing, are literally homeless, or are facing a utility shutoff."
food,Food Pantry,St. Clement's Church Outreach,231 Lake Avenue,Saratoga,NY,12866,Saratoga,,,,518-9805,https://regionalfoodbank.net/agencies/st-clements-outreach/,https://www.facebook.com/St-Clements-Church-Saratoga-Springs-NY-224780885975/,2020-08-10,,TRUE,TRUE,,Open to Saratoga County residents. Proof of residency required. Open Tuesday & Wednesday from 9 a.m. to noon.
